country,date,R_mean,R_low,R_high,P_R_gt_1
Spain,2021-10-18,0.9909123643559015,0.758431502184559,1.25834659654539,0.445
Spain,2021-10-25,1.044720329369152,0.8045880558713794,1.3394448530983751,0.585
Spain,2021-11-01,1.107288879866701,0.8529974300193967,1.4112958853864372,0.714
Spain,2021-11-08,1.183034452476388,0.9074469193330769,1.5151399683041624,0.829
Spain,2021-11-15,1.2427602642502273,0.9543561472721004,1.6014868806551044,0.899
Spain,2021-11-22,1.324285710501549,1.011158902533996,1.7118091385710283,0.96
Spain,2021-11-29,1.3477576776461335,1.022907571788827,1.7241467927064358,0.966
Spain,2021-12-06,1.447375394063497,1.0924093227606477,1.8709300817341197,0.983
Spain,2021-12-13,1.449101480595784,1.0788635088162715,1.8333498943232431,0.99
Spain,2021-12-20,1.4844944818351622,1.119095242729683,1.9196370980164394,0.993
Spain,2021-12-27,1.477417295583296,1.113211910122083,1.9105371189665405,0.995
Spain,2022-01-03,1.3430785099650613,1.0361333314215126,1.7189420584406165,0.97
Spain,2022-01-10,1.2516747539686925,0.9734716379102039,1.6077887006344385,0.927
Spain,2022-01-17,1.1361950870413564,0.8647706534439064,1.442611915872722,0.762
Spain,2022-01-24,1.0375311433944394,0.7876966573600962,1.3339334213238347,0.554
Spain,2022-01-31,0.9448939435684521,0.7314112169759426,1.2101565010624085,0.319
Spain,2022-02-07,0.8778297789727516,0.6580325253341072,1.1149287557171752,0.192
Spain,2022-02-14,0.8287135370116044,0.6202464885947779,1.0719173103513802,0.108
Spain,2022-02-21,0.8189366670770808,0.612976025108239,1.0575541537120414,0.087
Spain,2022-02-28,0.8155225061817098,0.6292681903854342,1.043699308602393,0.082
Spain,2022-03-07,0.8699043010903028,0.6506577590093856,1.1150102106160926,0.176
Spain,2022-03-14,0.9035804677945148,0.7057150113765264,1.132238776686276,0.224
Spain,2022-03-21,0.9171638442913483,0.7031339278424658,1.1748817364203614,0.253
Spain,2022-03-28,0.9361499148322819,0.7123638654351874,1.1872613269038583,0.312
Spain,2022-04-04,0.9364187760485145,0.7087955900204027,1.2185801770223188,0.315
Spain,2022-04-11,0.9430235166368692,0.711071717324635,1.2091642576876231,0.33
Spain,2022-04-18,0.9804066267938015,0.7531908784426392,1.2508343230413042,0.412
Spain,2022-04-25,1.0210281736345628,0.768755929198724,1.3308814763133756,0.517
Spain,2022-05-02,1.0339890362509574,0.7883817189922189,1.3219125351106915,0.562
Spain,2022-05-09,1.0326999219680315,0.7788087112062061,1.332711184197907,0.562
Spain,2022-05-16,1.0205200091318511,0.7796046196283914,1.335220085732247,0.499
Spain,2022-05-23,1.0027375120007744,0.7555218236612061,1.2882890104865958,0.481
Sri Lanka,2020-01-20,1.0215378472093843,0.7848784419227544,1.3030900409950295,0.517
Sri Lanka,2020-01-27,1.022745338546091,0.7816039677901592,1.2970923708998963,0.523
Sri Lanka,2020-02-03,1.0199534519320745,0.8027417840812248,1.2972687491718697,0.51
Sri Lanka,2020-02-10,1.0191241190958151,0.7915832597474378,1.2897660834707836,0.527
Sri Lanka,2020-02-17,1.0376914203611123,0.8066066752516643,1.3386149539361447,0.56
Sri Lanka,2020-02-24,1.041609901015835,0.7827072487532563,1.334808165533293,0.573
Sri Lanka,2020-03-02,1.1476180023929492,0.8861553808252737,1.4697699825798354,0.802
Sri Lanka,2020-03-09,1.1741979511498817,0.8940124925672368,1.5164909407180769,0.82
Sri Lanka,2020-03-16,1.2191067800809054,0.9249687186867657,1.5506809578319185,0.89
Sri Lanka,2020-03-23,1.273076220584171,0.9763744816392541,1.6056893498874858,0.932
Sri Lanka,2020-03-30,1.2042749416605276,0.935349697296395,1.5500103685560904,0.868
Sri Lanka,2020-04-06,1.165178723006173,0.8853760426438542,1.4964381521785826,0.83
Sri Lanka,2020-04-13,1.1732170681058642,0.887527966230192,1.4941034320429027,0.826
Sri Lanka,2020-04-20,1.2025153293896216,0.9168997581488613,1.534289177812596,0.857
Sri Lanka,2020-04-27,1.2533146891650533,0.9431084216803939,1.5996391573050488,0.884
Sri Lanka,2020-05-04,1.1921788581033352,0.8976195190170935,1.5416245808676265,0.841
Sri Lanka,2020-05-11,1.0942912025327467,0.8469628570069981,1.396932848026074,0.705
Sri Lanka,2020-05-18,1.0763467929454045,0.8182590370679871,1.3599453545905071,0.674
Sri Lanka,2020-05-25,1.0792965428622159,0.8048693095968706,1.408892564692171,0.645
Sri Lanka,2020-06-01,1.062490676010164,0.8029146981751306,1.3565396869309347,0.631
Sri Lanka,2020-06-08,0.9454300590772543,0.7259216348834392,1.2085502603674123,0.325
Sri Lanka,2020-06-15,0.8957345567125639,0.6892484109473194,1.1370162325295154,0.22
Sri Lanka,2020-06-22,0.9322892119049364,0.7163760848399514,1.1821221807651021,0.308
Sri Lanka,2020-06-29,0.9870935770601605,0.7412801479665783,1.2811503634187134,0.434
Sri Lanka,2020-07-06,1.0055404886026607,0.7655400307059184,1.2839272911285167,0.485
Sri Lanka,2020-07-13,1.0807074449517788,0.8291243149549544,1.3760907358876546,0.669
Sri Lanka,2020-07-20,0.9785711259661856,0.7390993657454168,1.2391340932492454,0.43
Sri Lanka,2020-07-27,0.8831474842254834,0.6724994326115911,1.1319945786520966,0.194
Sri Lanka,2020-08-03,0.9020040338344316,0.6822204241869747,1.1380475803067598,0.243
Sri Lanka,2020-08-10,0.9492331757060571,0.7247359009192753,1.2080568484285756,0.325
Sri Lanka,2020-08-17,1.0405134654562098,0.7862974294267062,1.337150566513239,0.585
Sri Lanka,2020-08-24,1.0772661498021838,0.8227761976124992,1.3812744945257025,0.651
Sri Lanka,2020-08-31,1.1541426608783378,0.8814225546957262,1.5084294479098896,0.788
Sri Lanka,2020-09-07,1.145566172572704,0.8694469853697119,1.4739387677986628,0.766
Sri Lanka,2020-09-14,1.137546340166345,0.8820610943783651,1.4395622457849864,0.792
Sri Lanka,2020-09-21,1.1959130258656665,0.9082121840361496,1.531766057012714,0.855
Sri Lanka,2020-09-28,1.257124676687126,0.9514488028227654,1.5859353060365962,0.915
Sri Lanka,2020-10-05,1.398005385370117,1.0474453301370474,1.782832271525285,0.973
Sri Lanka,2020-10-12,1.6359566367421956,1.2385307934209655,2.116838342614871,0.999
Sri Lanka,2020-10-19,1.47925806677892,1.132102728384933,1.8813141748430655,0.995
Sri Lanka,2020-10-26,1.477595871988956,1.1263658752975778,1.8886768705290629,0.99
Sri Lanka,2020-11-02,1.3975848757236813,1.0777822420187153,1.7753569362538466,0.98
Sri Lanka,2020-11-09,1.286370420504692,0.9808387866389794,1.645649165330557,0.934
Sri Lanka,2020-11-16,1.2166595527302764,0.9328972990341359,1.5487147533367989,0.877
Sri Lanka,2020-11-23,1.1675860596089493,0.8833319199884208,1.4922329871536728,0.812
Sri Lanka,2020-11-30,1.1450066187574373,0.8573176126741545,1.451307462355862,0.787
Sri Lanka,2020-12-07,1.096875663833893,0.8452779957233673,1.4052254864191827,0.709
Sri Lanka,2020-12-14,1.0640816461289766,0.8070171502424915,1.3607138069801197,0.602
Sri Lanka,2020-12-21,1.0294260694229411,0.7772816354500651,1.2980893068941757,0.56
Sri Lanka,2020-12-28,0.9978353146567893,0.7553656003377087,1.2621057685431747,0.471
Sri Lanka,2021-01-04,1.0757400678957747,0.8117380911828235,1.386148568517967,0.648
Sri Lanka,2021-01-11,1.0672337955321993,0.8129834137339412,1.3502675904665047,0.64
Sri Lanka,2021-01-18,1.075566663674755,0.8198129306877281,1.398529432545698,0.64
Sri Lanka,2021-01-25,1.0693601401623192,0.8037405808956087,1.3695272436695376,0.632
Sri Lanka,2021-02-01,1.0455173850213682,0.7908248591373035,1.3615802896276525,0.562
